SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-16-2020,Single Family Residential,2924 NE Regents Dr,Portland,OR,97212,922000.0,4.0,2.5,Portland Northeast,4150.0,8276.0,1923.0,126.0,222.0,,Sold,,,http://www.redfin.com/OR/Portland/2924-NE-Regents-Dr-97212/home/25831222,RMLS,20174871.0,N,Y,45.5498952,-122.6356107
PAST SALE,July-14-2020,Single Family Residential,3303 NE 26th Ave,Portland,OR,97212,950000.0,4.0,3.0,Portland Northeast,2850.0,4791.0,1926.0,37.0,333.0,,Sold,,,http://www.redfin.com/OR/Portland/3303-NE-26th-Ave-97212/home/25783694,RMLS,20208740.0,N,Y,45.5468734,-122.63939930000001
PAST SALE,March-18-2020,Single Family Residential,2406 NE 32nd Ave,Portland,OR,97212,863000.0,4.0,3.0,DOLPH PARK / GRANT PARK,3138.0,3920.0,1940.0,155.0,275.0,,Sold,,,http://www.redfin.com/OR/Portland/2406-NE-32nd-Ave-97212/home/26460241,RMLS,20088751.0,N,Y,45.5396705,-122.6330085
PAST SALE,April-23-2020,Single Family Residential,2407 NE Knott St,Portland,OR,97212,835000.0,4.0,2.5,IRVINGTON/ALAMEDA,3492.0,7840.0,1923.0,119.0,239.0,,Sold,,,http://www.redfin.com/OR/Portland/2407-NE-Knott-St-97212/home/26503037,RMLS,20047852.0,N,Y,45.5422706,-122.64080700000001
PAST SALE,May-14-2020,Single Family Residential,3304 NE 16th Ave,Portland,OR,97212,741000.0,3.0,2.0,Portland Northeast,2918.0,5227.0,1920.0,98.0,254.0,,Sold,,,http://www.redfin.com/OR/Portland/3304-NE-16th-Ave-97212/home/26587213,RMLS,20004259.0,N,Y,45.546898299999995,-122.649078
PAST SALE,,Single Family Residential,1730 NE Klickitat St,Portland,OR,97212,,4.0,1.5,,2434.0,5000.0,1922.0,,,,Sold,,,http://www.redfin.com/OR/Portland/1730-NE-Klickitat-St-97212/home/26602375,RMLS,,N,Y,45.546586100000006,-122.6476138
PAST SALE,May-28-2020,Single Family Residential,1610 NE Siskiyou St,Portland,OR,97212,1450000.0,4.0,3.5,IRVINGTON,4197.0,10018.0,1915.0,84.0,345.0,,Sold,,,http://www.redfin.com/OR/Portland/1610-NE-Siskiyou-St-97212/home/25813578,RMLS,20570596.0,N,Y,45.5449646,-122.6490824
PAST SALE,July-27-2020,Single Family Residential,2510 NE Alameda St,Portland,OR,97212,1200000.0,4.0,3.5,Portland Northeast,3267.0,6534.0,1922.0,24.0,367.0,,Sold,,,http://www.redfin.com/OR/Portland/2510-NE-Alameda-St-97212/home/26403476,RMLS,20305818.0,N,Y,45.551186,-122.64100800000001
PAST SALE,July-28-2020,Single Family Residential,2424 NE 24th Ave,Portland,OR,97212,1470000.0,4.0,3.5,IRVINGTON,4048.0,10018.0,1910.0,23.0,363.0,,Sold,,,http://www.redfin.com/OR/Portland/2424-NE-24th-Ave-97212/home/26537264,RMLS,20141214.0,N,Y,45.5400865,-122.64079209999998
PAST SALE,July-29-2020,Single Family Residential,2129 NE Knott St,Portland,OR,97212,925000.0,4.0,3.0,Irvington,3566.0,10018.0,1951.0,22.0,259.0,,Sold,,,http://www.redfin.com/OR/Portland/2129-NE-Knott-St-97212/home/26448981,RMLS,20193161.0,N,Y,45.5423161,-122.6434893
PAST SALE,April-17-2020,Single Family Residential,3415 NE 34th Ave,Portland,OR,97212,1575000.0,5.0,3.5,Portland Northeast,5006.0,16117.0,1924.0,125.0,315.0,,Sold,,,http://www.redfin.com/OR/Portland/3415-NE-34th-Ave-97212/home/26528280,RMLS,19190591.0,N,Y,45.54743,-122.629452
PAST SALE,June-26-2020,Single Family Residential,2526 NE 32nd Pl,Portland,OR,97212,1400000.0,4.0,3.0,Portland Northeast,3206.0,4791.0,2020.0,55.0,437.0,,Sold,,,http://www.redfin.com/OR/Portland/2526-NE-32nd-Pl-97212/home/171721383,RMLS,20471782.0,N,Y,45.5405315,-122.6312835
